Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
GCUT,gcut8_2,500,500,50,0.17,208,0,0,250000,250000,250000,243917,243917,243917,0.024332,0.0,0,1,1758,1759,0,0,0.0,0.0,0.01,0.026,0.037,0.0,2.643
GCUT,gcut8_3,500,500,50,0.25,306,0,0,250000,249999,249999,239819,243838,243838,0.04072016288065152,0.0,0,1,1225,1225,0,0,0.0,0.0,0.008,0.021,0.014,0.0,1.523
GCUT,gcut9_1,1000,1000,10,0.1,4,0,0,997256,984654,984654,924503,924503,924503,0.061088463561819684,0.0,0,1,0,0,0,0,0.0,0.0,0.013,0.0,0.0,0.0,0.077
GCUT,gcut9_2,1000,1000,10,0.17,7,0,0,997256,971865,971865,835406,835406,835406,0.1404094190036682,0.0,0,1,0,0,0,0,0.0,0.0,0.019,0.0,0.001,0.0,0.072
GCUT,gcut9_3,1000,1000,10,0.25,11,0,0,997256,986962,986962,819514,819514,819514,0.16966002743773317,0.0,0,1,0,0,0,0,0.0,0.0,0.013,0.0,0.001,0.0,0.077
GCUT,gcut10_1,1000,1000,20,0.1,19,0,0,999918,999918,999918,934559,937349,937349,0.06536435987750995,0.0,0,1,1,1,0,0,0.0,0.0,0.026,0.001,0.001,0.0,0.156
GCUT,gcut10_2,1000,1000,20,0.17,32,0,0,999918,999842,999842,909303,937349,937349,0.09055330742257277,0.0,0,1,0,0,0,0,0.0,0.0,0.026,0.001,0.001,0.0,0.138
GCUT,gcut10_3,1000,1000,20,0.25,47,0,0,999918,999911,999911,877079,899316,899316,0.12284293302103887,0.0,0,1,19,19,0,0,0.0,0.0,0.027,0.001,0.001,0.0,0.173
GCUT,gcut11_1,1000,1000,30,0.1,43,0,0,1000000,1000000,1000000,951831,951831,951831,0.048169,0.0,0,1,389,389,0,0,0.0,0.0,0.051,0.005,0.003,0.0,0.531
GCUT,gcut11_2,1000,1000,30,0.17,73,0,0,1000000,999987,999987,945839,957270,957270,0.05414870393315113,0.0,0,1,178,178,0,0,0.0,0.0,0.035,0.003,0.002,0.0,0.408
GCUT,gcut11_3,1000,1000,30,0.25,108,0,0,1000000,999988,999988,935962,957270,957270,0.06402676832121985,0.0,0,1,128,128,0,0,0.0,0.0,0.034,0.002,0.002,0.0,0.453
GCUT,gcut12_1,1000,1000,50,0.1,122,0,0,1000000,1000000,1000000,976877,976877,976877,0.023123,0.0,0,1,471,471,0,0,0.0,0.0,0.049,0.043,0.027,0.0,1.442
GCUT,gcut12_2,1000,1000,50,0.17,208,0,0,1000000,999993,999993,964648,964648,964648,0.035345247416731916,0.0,0,1,789,791,0,0,0.0,0.0,0.054,0.019,0.012,0.0,2.436
GCUT,gcut12_3,1000,1000,50,0.25,306,0,0,1000000,999984,999984,964648,964648,964648,0.03533656538504616,0.0,0,1,818,819,0,0,0.0,0.0,0.047,0.01,0.008,0.0,1.643
GCUT,gcut13_1,3000,3000,32,0.1,49,0,0,9000000,8690790,8690790,7823040,8671447,8404590,0.09984707949449935,0.030774217959240253,0,0,314263,582620,41,28,686.547,685.58,0.257,0.004,0.018,0.0,5111.457
GCUT,gcut13_2,3000,3000,32,0.17,84,0,0,9000000,7712154,7712154,7553800,7712154,7712154,0.02053304433495493,0.0,0,1,113,186,0,0,0.0,0.0,0.199,0.0,0.001,0.0,31.3
GCUT,gcut13_3,3000,3000,32,0.25,124,0,0,9000000,5064537,5064537,5064537,5064537,5064537,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.21,0.0,0.001,0.0,0.211
M,m1_1,100,156,10,0.1,4,0,0,15589,15218,15218,12728,13899,13899,0.16362202654750954,0.0,0,1,0,0,0,0,0.0,0.0,0.002,0.0,0.0,0.0,0.047
M,m1_2,100,156,10,0.17,7,0,0,15589,14840,14840,12728,13061,13061,0.14231805929919136,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.042
M,m1_3,100,156,10,0.25,11,0,0,15589,13384,13384,13384,13384,13384,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
M,m2_1,253,294,10,0.1,4,0,0,74091,69716,69716,62169,62169,62169,0.10825348557002697,0.0,0,1,292,292,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.046
M,m2_2,253,294,10,0.17,7,0,0,74091,54434,54434,54434,54434,54434,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.001
M,m2_3,253,294,10,0.25,11,0,0,74091,52777,52777,44923,52777,52777,0.148814824639521,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.011
M,m3_1,318,473,10,0.1,4,0,0,150021,143877,143877,133085,133085,133085,0.0750085142170048,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.032
M,m3_2,318,473,10,0.17,7,0,0,150021,149106,149106,121181,133802,133802,0.1872828725872869,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.001,0.0,0.023
M,m3_3,318,473,10,0.25,11,0,0,150021,108619,108619,108619,108619,108619,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,m4_1,501,556,10,0.1,4,0,0,278294,257811,257811,225931,233361,233361,0.12365647703162394,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.001,0.0,0.034
M,m4_2,501,556,10,0.17,7,0,0,278294,278227,278227,220120,220120,220120,0.20884745190078605,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.001,0.0,0.026
M,m4_3,501,556,10,0.25,11,0,0,278294,238934,238934,238934,238934,238934,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.002
M,m5_1,750,806,10,0.1,4,0,0,603452,592918,592918,495680,538994,538994,0.1639990690112292,0.0,0,1,0,0,0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.055
M,m5_2,750,806,10,0.17,7,0,0,603452,576905,576905,495680,508345,508345,0.14079441155822883,0.0,0,1,52,52,0,0,0.0,0.0,0.002,0.0,0.0,0.0,0.05
M,m5_3,750,806,10,0.25,11,0,0,603452,520844,520844,520844,520844,520844,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.006,0.0,0.0,0.0,0.006
