Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
OKP,OKP1,100,100,50,0,0,29133,29133,29133,27320,27718,27718,0.062231833316170666,0.0,0,1,1094863,1098815,0,0,0.0,0.0,0.001,0.0,0.001,0.0,3101.073
OKP,OKP2,100,100,30,0,0,24800,24348,24348,21976,22502,22502,0.09742073270905208,0.0,0,1,77953,77997,0,0,0.0,0.0,0.001,0.0,0.007,0.0,29.714
OKP,OKP3,100,100,30,0,0,26714,26527,26527,24019,24019,24019,0.09454518038225204,0.0,0,1,17504,17513,0,0,0.0,0.0,0.001,0.0,0.014,0.0,4.316
OKP,OKP4,100,100,61,0,0,33631,33631,33631,32893,32893,32893,0.021944039725253488,0.0,0,1,1970,1971,0,0,0.0,0.0,0.001,0.001,0.0,0.0,3.61
OKP,OKP5,100,100,97,0,0,29045,29045,29045,26800,27923,27923,0.07729385436391806,0.0,0,1,15994,15998,0,0,0.0,0.0,0.001,0.001,0.004,0.0,37.512
WANG,WANG3,40,70,42,0,0,2800,2800,2800,2721,2726,2726,0.028214285714285713,0.0,0,1,680,680,0,0,0.0,0.0,0.001,0.001,0.001,0.0,0.101
H,H,98,127,5,0,0,3783,0,3783,3783,3783,3783,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.001
HZ,HZ1,67,78,6,0,0,2989,0,2989,2989,2989,2989,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
HZ,HZ2,80,99,5,0,0,2926,0,2926,2926,2926,2926,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,M1,156,100,10,0,0,15589,15589,15589,13400,14478,14478,0.14041952658926166,0.0,0,1,145,145,0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.103
M,M2,294,253,10,0,0,74091,74091,74091,63693,67227,67227,0.14034093209701584,0.0,0,1,323,325,0,0,0.0,0.0,0.0,0.001,0.0,0.0,0.124
M,M3,473,318,10,0,0,150021,150021,150021,133085,133802,133802,0.11289086194599422,0.0,0,1,227,227,0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.082
M,M4,556,501,10,0,0,278294,278294,278294,238934,250667,250667,0.14143316061431435,0.0,0,1,40,40,0,0,0.0,0.0,0.002,0.0,0.0,0.0,0.064
M,M5,806,750,10,0,0,603452,603452,603452,521603,545771,545771,0.13563464865473973,0.0,0,1,385,385,0,0,0.0,0.0,0.008,0.0,0.0,0.0,0.148
MW,MW1,156,100,10,0,0,3656,3656,3656,3158,3317,3317,0.1362144420131291,0.0,0,1,181,181,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.081
MW,MW2,294,253,10,0,0,18075,18075,18075,15531,16432,16432,0.14074688796680498,0.0,0,1,509,509,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.08
MW,MW3,473,318,10,0,0,34032,34032,34032,30359,30359,30359,0.10792783262811471,0.0,0,1,181,181,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.08
MW,MW4,556,501,10,0,0,54693,54693,54693,45822,49122,49122,0.1621962591190829,0.0,0,1,600,600,0,0,0.0,0.0,0.001,0.0,0.001,0.0,0.118
MW,MW5,806,750,10,0,0,161641,161641,161641,136631,148377,148377,0.1547255956100247,0.0,0,1,63,63,0,0,0.0,0.0,0.006,0.0,0.001,0.0,0.085
UU,UU1,500,500,25,0,0,249999,249999,249999,244153,244153,244153,0.023384093536374145,0.0,0,1,402,404,0,0,0.0,0.0,0.003,0.009,0.004,0.0,0.275
UU,UU2,800,750,30,0,0,600000,600000,600000,588477,590395,590395,0.019205,0.0,0,1,25561,25626,0,0,0.0,0.0,0.008,0.011,0.035,0.0,7.456
UU,UU3,1000,1100,25,0,0,1100000,1100000,1100000,1070313,1070313,1070313,0.026988181818181817,0.0,0,1,4271,4274,0,0,0.0,0.0,0.013,0.022,0.015,0.0,1.947
UU,UU4,1200,1000,38,0,0,1200000,1200000,1200000,1175375,1182367,1182367,0.020520833333333332,0.0,0,1,119535,119740,0,0,0.0,0.0,0.022,0.018,0.332,0.0,70.749
UU,UU5,1300,1450,50,0,0,1885000,1885000,1885000,1844412,1867816,1867816,0.02153209549071618,0.0,0,1,102631,102924,0,0,0.0,0.0,0.08,0.013,1.194,0.0,162.298
UU,UU6,1457,2050,38,0,0,2986850,2986850,2986850,2910095,2915611,2915611,0.025697641327820278,0.0,0,1,20385,20436,0,0,0.0,0.0,0.051,0.008,0.128,0.0,12.099
UU,UU7,2024,1465,50,0,0,2965160,2965160,2965160,2913405,2960996,2929398,0.017454370084582282,0.010671409215007383,0,0,874591,1217305,0,0,0.0,0.0,0.074,0.357,1.596,0.0,3660.655
UU,UU8,2000,2000,55,0,0,4000000,4000000,4000000,3945012,3945012,3945012,0.013747,0.0,0,1,407899,408540,0,0,0.0,0.0,0.119,0.035,1.758,0.0,475.075
UW,UW1,500,500,25,0,0,4766,4766,4766,4114,4248,4248,0.13680234997901805,0.0,0,1,960,960,0,0,0.0,0.0,0.003,0.0,0.001,0.0,0.327
UW,UW2,750,560,35,0,0,5647,5647,5647,5115,5409,5409,0.09420931468036126,0.0,0,1,5724,5724,9,1,0.131,0.11,0.008,0.0,0.002,0.0,4.988
UW,UW3,650,700,35,0,0,4444,4444,4444,3983,4192,4192,0.10373537353735374,0.0,0,1,2104,2104,0,0,0.0,0.0,0.007,0.0,0.001,0.0,1.849
UW,UW4,1015,1245,45,0,0,6307,6307,6307,5780,5901,5901,0.08355795148247978,0.0,0,1,42586,42586,0,0,0.0,0.0,0.025,0.001,0.004,0.0,51.5
UW,UW5,1450,1100,35,0,0,5232,5232,5232,4505,4653,4653,0.1389525993883792,0.0,0,1,1407,1407,0,0,0.0,0.0,0.041,0.002,0.011,0.0,1.065
UW,UW6,1542,1750,47,0,0,5480,5480,5480,4876,5108,5108,0.11021897810218978,0.0,0,1,27013,27013,0,0,0.0,0.0,0.073,0.001,0.007,0.0,31.647
UW,UW7,1875,2250,50,0,0,6688,6688,6688,6076,6271,6271,0.09150717703349283,0.0,0,1,8724,8724,0,0,0.0,0.0,0.107,0.001,0.013,0.0,6.666
UW,UW8,2763,2645,55,0,0,6165,6165,6165,5564,5887,5887,0.09748580697485806,0.0,0,1,72703,72703,0,0,0.0,0.0,0.216,0.001,0.014,0.0,120.67
UW,UW9,3250,3000,45,0,0,4881,4881,4881,4306,4535,4535,0.11780372874410981,0.0,0,1,976,976,0,0,0.0,0.0,0.211,0.0,0.003,0.0,4.079
UW,UW10,3650,3500,60,0,0,6471,6471,6471,5816,6090,6090,0.10122083140163808,0.0,0,1,67348,67348,7,7,5.34,5.247,0.361,0.001,0.01,0.0,45.905
UW,UW11,632,555,30,0,0,6987,6987,6987,6457,6987,6827,0.07585515958208101,0.022899670817232,0,0,1036015,1828652,1,0,0.001,0.0,0.005,0.001,0.006,0.0,3668.632
W,W2,2769,3427,20,0,0,19636,19636,19636,17904,19148,19148,0.08820533713587289,0.0,0,1,35705,35732,0,0,0.0,0.0,0.113,0.0,0.001,0.0,22.083
