Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
OKP,OKP1,100,100,50,0,0,29133,29133,29133,27320,27718,27718,0.062231833316170666,0.0,0,1,1093764,1097703,0,0,0.0,0.0,0.001,0.0,0.002,0.019,3623.802
OKP,OKP2,100,100,30,0,0,24738,24193,24193,21976,22502,22502,0.09163807712974828,0.0,0,1,121144,121222,0,0,0.0,0.0,0.0,0.0,0.014,0.008,55.569
OKP,OKP3,100,100,30,0,1,26565,26328,26328,23743,24019,24019,0.09818444241871771,0.0,0,1,8602,8612,0,0,0.0,0.0,0.001,0.0,0.011,0.006,2.159
OKP,OKP4,100,100,61,3,21,33631,33631,33631,32893,32893,32893,0.021944039725253488,0.0,0,1,3372,3376,0,0,0.0,0.0,0.001,0.0,0.001,0.016,4.316
OKP,OKP5,100,100,97,0,14,29045,29045,29045,26800,27923,27923,0.07729385436391806,0.0,0,1,24570,24571,0,0,0.0,0.0,0.001,0.0,0.003,0.06,52.327
WANG,WANG3,40,70,42,0,8,2800,2800,2800,2726,2726,2726,0.02642857142857143,0.0,0,1,700,700,0,0,0.0,0.0,0.0,0.0,0.003,0.003,0.108
H,H,98,127,5,0,0,3783,0,3783,3783,3783,3783,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HZ,HZ1,67,78,6,0,0,2989,0,2989,2989,2989,2989,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HZ,HZ2,80,99,5,0,0,2926,0,2926,2926,2926,2926,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,M1,156,100,10,0,0,15048,15048,15048,13488,14478,14478,0.10366826156299841,0.0,0,1,365,365,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.042
M,M2,294,253,10,0,0,71325,71325,71325,63471,67227,67227,0.11011566771819138,0.0,0,1,335,336,0,0,0.0,0.0,0.001,0.0,0.0,0.005,0.086
M,M3,473,318,10,0,0,144292,144292,144292,128333,133802,133802,0.11060211238322291,0.0,0,1,162,162,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.042
M,M4,556,501,10,0,0,265580,265580,265580,238020,250667,250667,0.10377287446343851,0.0,0,1,22,22,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.044
M,M5,806,750,10,0,0,582356,582356,582356,545771,545771,545771,0.06282239729649905,0.0,0,1,678,678,0,0,0.0,0.0,0.003,0.0,0.0,0.0,0.096
MW,MW1,156,100,10,0,0,3486,3486,3486,3158,3317,3317,0.09409064830751578,0.0,0,1,537,537,0,0,0.0,0.0,0.0,0.001,0.0,0.001,0.061
MW,MW2,294,253,10,0,0,17420,17420,17420,15531,16432,16432,0.10843857634902411,0.0,0,1,321,321,0,0,0.0,0.0,0.001,0.0,0.0,0.005,0.062
MW,MW3,473,318,10,0,0,32653,32653,32653,30226,30359,30359,0.07432701436315194,0.0,0,1,62,62,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.046
MW,MW4,556,501,10,0,0,52420,52420,52420,48732,49122,49122,0.07035482640213658,0.0,0,1,632,632,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.09
MW,MW5,806,750,10,0,0,156868,156868,156868,148377,148377,148377,0.054128311701558,0.0,0,1,39,40,0,0,0.0,0.0,0.003,0.0,0.0,0.0,0.093
UU,UU1,500,500,25,0,3,248769,248769,248769,244153,244153,244153,0.018555366625262793,0.0,0,1,394,394,0,0,0.0,0.0,0.002,0.0,0.004,0.0,0.213
UU,UU2,800,750,30,0,0,599969,599969,599969,577850,590395,590395,0.03686690479008082,0.0,0,1,12267,12294,0,0,0.0,0.0,0.009,0.001,0.089,0.0,3.75
UU,UU3,1000,1100,25,0,0,1098587,1098587,1098587,1070313,1070313,1070313,0.02573669631990912,0.0,0,1,3436,3437,0,0,0.0,0.0,0.01,0.0,0.027,0.0,1.525
UU,UU4,1200,1000,38,0,0,1199934,1199934,1199934,1175375,1182367,1182367,0.020466959016079218,0.0,0,1,101776,101972,0,0,0.0,0.0,0.019,0.0,0.408,0.0,67.093
UU,UU5,1300,1450,50,0,0,1885000,1885000,1885000,1848552,1867816,1867816,0.01933580901856764,0.0,0,1,60455,60650,0,0,0.0,0.0,0.037,0.012,2.819,0.0,111.39
UU,UU6,1457,2050,38,0,0,2983259,2983259,2983259,2904443,2915611,2915611,0.026419429221532557,0.0,0,1,18536,18584,0,0,0.0,0.0,0.048,0.001,0.218,0.0,10.958
UU,UU7,2024,1465,50,0,0,2965160,2965160,2965160,2892092,2957708,2929398,0.024642177825142657,0.009571600712443555,0,0,879174,922855,0,0,0.0,0.0,0.066,0.072,2.247,0.0,3660.23
UU,UU8,2000,2000,55,0,1,4000000,4000000,4000000,3945012,3945012,3945012,0.013747,0.0,0,1,186939,187284,0,0,0.0,0.0,0.106,0.018,3.272,0.0,227.634
UW,UW1,500,500,25,0,8,4722,4722,4722,4114,4248,4248,0.12875900042354935,0.0,0,1,1003,1003,0,0,0.0,0.0,0.003,0.0,0.0,0.0,0.3
UW,UW2,750,560,35,0,6,5647,5647,5647,5174,5409,5409,0.08376128918009562,0.0,0,1,13172,13172,0,0,0.0,0.0,0.006,0.0,0.002,0.0,7.775
UW,UW3,650,700,35,0,11,4382,4382,4382,3983,4192,4192,0.09105431309904154,0.0,0,1,3471,3471,0,0,0.0,0.0,0.006,0.001,0.0,0.0,1.404
UW,UW4,1015,1245,45,0,16,6307,6307,6307,5780,5901,5901,0.08355795148247978,0.0,0,1,44269,44269,0,0,0.0,0.0,0.028,0.001,0.003,0.001,40.896
UW,UW5,1450,1100,35,0,13,5067,5067,5067,4505,4653,4653,0.11091375567396881,0.0,0,1,1252,1252,0,0,0.0,0.0,0.028,0.0,0.001,0.001,0.639
UW,UW6,1542,1750,47,0,17,5480,5480,5480,4876,5108,5108,0.11021897810218978,0.0,0,1,17660,17660,0,0,0.0,0.0,0.079,0.0,0.007,0.001,12.947
UW,UW7,1875,2250,50,0,16,6688,6688,6688,6076,6271,6271,0.09150717703349283,0.0,0,1,4197,4197,0,0,0.0,0.0,0.104,0.0,0.002,0.0,4.801
UW,UW8,2763,2645,55,0,19,6165,6165,6165,5564,5887,5887,0.09748580697485806,0.0,0,1,47192,47192,0,0,0.0,0.0,0.218,0.0,0.002,0.0,60.136
UW,UW9,3250,3000,45,0,10,4827,4827,4827,4360,4535,4535,0.09674746219183758,0.0,0,1,925,925,0,0,0.0,0.0,0.243,0.001,0.002,0.0,3.425
UW,UW10,3650,3500,60,0,25,6471,6471,6471,5816,6090,6090,0.10122083140163808,0.0,0,1,52536,52536,0,0,0.0,0.0,0.406,0.0,0.009,0.0,36.892
UW,UW11,632,555,30,0,2,6987,6987,6987,6457,6987,6827,0.07585515958208101,0.022899670817232,0,0,1600791,2874084,0,0,0.0,0.0,0.005,0.001,0.005,0.0,3678.268
W,W2,2769,3427,20,0,1,19636,19636,19636,18760,19148,19148,0.044611937258097374,0.0,0,1,19924,19947,0,0,0.0,0.0,0.142,0.0,0.0,0.0,13.286
