Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
GCUT,gcut10_1,1000,1000,20,0.1,19,0,3,990829,976757,976757,937349,937349,937349,0.040345756,0,0,1,1476,1547,71,0,0.014,0,0,0,0,0,0.014
GCUT,gcut10_2,1000,1000,20,0.17,32,0,1,990829,984065,984065,909303,937349,937349,0.075972624,0,0,1,885,937,53,0,0,0,0.002,0.006,0,0,0.008
GCUT,gcut10_3,1000,1000,20,0.25,47,0,1,990829,970563,970563,877079,899316,899316,0.096319353,0,0,1,851,909,59,0,0,0,0.009,0,0.002,0,0.011
GCUT,gcut11_1,1000,1000,30,0.1,43,0,1,996440,992304,992304,951831,951831,951831,0.040786896,0,0,1,44602,46589,1987,3,0.091,0.057,0.014,0,0.008,0,0.113
GCUT,gcut11_2,1000,1000,30,0.17,73,0,1,996440,991753,991753,945839,957270,957270,0.046295801,0,0,1,19936,20901,966,0,0.014,0,0.011,0,0.002,0,0.027
GCUT,gcut11_3,1000,1000,30,0.25,108,0,1,996440,984620,984620,935962,957270,957270,0.04941805,0,0,1,7995,8367,373,0,0.006,0,0.009,0,0.002,0,0.019
GCUT,gcut12_1,1000,1000,50,0.1,122,0,0,999958,998852,998852,976877,976877,976877,0.022000256,0,0,1,350459,358846,8387,0,0.12,0,0.023,0,0.042,0,0.208
GCUT,gcut12_2,1000,1000,50,0.17,208,0,0,999958,998724,998724,964648,964648,964648,0.034119537,0,0,1,129989,135747,5758,0,0.084,0,0.014,0,0.016,0,0.118
GCUT,gcut12_3,1000,1000,50,0.25,306,0,0,999958,998809,998809,964648,964648,964648,0.034201734,0,0,1,66896,69953,3057,0,0.046,0,0.012,0,0.021,0,0.086
GCUT,gcut13_1,3000,3000,32,0.1,49,0,0,9000000,8690790,8690790,7823040,8690790,7823040,0.099847079,0.099847079,0,0,81,94,1,1,1199.716,1199.648,0.185,0.016,0.064,0.002,1200.007
GCUT,gcut13_2,3000,3000,32,0.17,84,0,0,9000000,7712154,7712154,7553800,7712154,7712154,0.020533044,0,0,1,0,13,1,0,0,0,0.126,0,0,0,0.126
GCUT,gcut13_3,3000,3000,32,0.25,124,0,0,9000000,5064537,5064537,5064537,5064537,5064537,0,0,1,1,0,0,0,0,0,0,0.127,0,0,0,0.127
M,m1_1,100,156,10,0.1,4,0,0,15048,14840,14840,12728,13899,13899,0.142318059,0,0,1,84,87,5,0,0,0,0,0,0,0,0
M,m1_2,100,156,10,0.17,7,0,0,15048,14840,14840,12728,13061,13061,0.142318059,0,0,1,207,217,12,1,0,0,0,0,0,0,0
M,m1_3,100,156,10,0.25,11,0,0,15048,13384,13384,13384,13384,13384,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
M,m2_1,253,294,10,0.1,4,0,0,71325,69716,69716,62169,62169,62169,0.108253486,0,0,1,178,184,6,1,0,0,0,0,0,0,0
M,m2_2,253,294,10,0.17,7,0,0,71325,54434,54434,54434,54434,54434,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
M,m2_3,253,294,10,0.25,11,0,0,71325,52777,52777,44923,52777,52777,0.148814825,0,0,1,1,7,1,0,0,0,0,0,0,0,0
M,m3_1,318,473,10,0.1,4,0,0,144292,134674,134674,127418,133085,133085,0.053878254,0,0,1,89,91,4,1,0,0,0,0,0,0,0
M,m3_2,318,473,10,0.17,7,0,0,144292,133802,133802,121181,133802,133802,0.094325944,0,0,1,5,12,2,0,0,0,0,0,0,0,0
M,m3_3,318,473,10,0.25,11,0,0,144292,108619,108619,108619,108619,108619,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
M,m4_1,501,556,10,0.1,4,0,0,265580,257811,257811,233361,233361,233361,0.094836915,0,0,1,98,100,2,0,0,0,0.016,0,0,0,0.016
M,m4_2,501,556,10,0.17,7,0,0,265580,250381,250381,220120,220120,220120,0.12085981,0,0,1,96,102,6,0,0,0,0,0,0,0,0
M,m4_3,501,556,10,0.25,11,0,0,265580,238934,238934,238934,238934,238934,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
M,m5_1,750,806,10,0.1,4,0,0,582356,576905,576905,495680,538994,538994,0.140794412,0,0,1,114,117,5,0,0,0,0,0,0,0,0
M,m5_2,750,806,10,0.17,7,0,0,582356,576905,576905,495680,508345,508345,0.140794412,0,0,1,237,247,12,1,0.016,0.016,0,0,0,0,0.016
M,m5_3,750,806,10,0.25,11,0,0,582356,520844,520844,520844,520844,520844,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MW,mw1_1,100,156,10,0.1,4,0,0,3486,3466,3466,2968,3240,3240,0.143681477,0,0,1,57,60,4,0,0,0,0,0,0,0,0
MW,mw1_2,100,156,10,0.17,7,0,0,3486,3405,3405,2919,2948,2948,0.142731278,0,0,1,67,74,9,1,0.016,0.016,0,0,0,0,0.016
MW,mw1_3,100,156,10,0.25,11,0,0,3486,3039,3039,3039,3039,3039,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MW,mw2_1,253,294,10,0.1,4,0,0,17420,16740,16740,15433,15433,15433,0.078076464,0,0,1,77,81,4,0,0,0,0,0,0.016,0,0.016
MW,mw2_2,253,294,10,0.17,7,0,1,17420,13074,13074,12397,13074,13074,0.051782163,0,0,1,10,18,1,0,0,0,0,0,0,0,0
MW,mw2_3,253,294,10,0.25,11,0,0,17420,12813,12813,11164,12813,12813,0.128697417,0,0,1,0,5,1,0,0,0,0,0,0,0,0
MW,mw3_1,318,473,10,0.1,4,0,0,32653,30990,30990,30359,30359,30359,0.020361407,0,0,1,41,43,2,1,0,0,0,0,0,0,0
MW,mw3_2,318,473,10,0.17,7,0,0,32653,30847,30847,27629,29899,29899,0.104321328,0,0,1,34,36,3,0,0,0,0,0,0,0,0
MW,mw3_3,318,473,10,0.25,11,0,0,32653,25317,25317,25317,25317,25317,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MW,mw4_1,501,556,10,0.1,4,0,0,52420,49835,49835,44171,48732,48732,0.113655062,0,0,1,80,81,3,0,0,0,0,0,0,0,0
MW,mw4_2,501,556,10,0.17,7,0,0,52420,50255,50255,43158,45415,45415,0.141219779,0,0,1,104,112,9,1,0.016,0.016,0,0,0,0,0.016
MW,mw4_3,501,556,10,0.25,11,0,0,52420,46458,46458,46458,46458,46458,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MW,mw5_1,750,806,10,0.1,4,0,0,156868,155075,155075,133339,143961,143961,0.140164437,0,0,1,49,51,4,0,0,0,0,0,0,0,0
MW,mw5_2,750,806,10,0.17,7,0,0,156868,155075,155075,126990,126990,126990,0.181105916,0,0,1,131,142,14,0,0,0,0,0,0,0,0
MW,mw5_3,750,806,10,0.25,11,0,0,156868,126304,126304,126304,126304,126304,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut01_1,10,10,5,0.1,1,0,0,145,141,141,141,141,141,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut01_2,10,10,5,0.17,1,0,0,145,118,118,118,118,118,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut01_3,10,10,5,0.25,2,1,1,145,125,125,118,118,118,0.056,0,0,1,5,6,1,0,0,0,0,0,0,0,0
NGCUT,ngcut02_1,10,10,7,0.1,2,0,1,206,166,166,135,138,138,0.186746988,0,0,1,51,55,5,0,0,0,0,0,0,0,0
NGCUT,ngcut02_2,10,10,7,0.17,3,0,0,206,130,130,130,130,130,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut02_3,10,10,7,0.25,5,0,0,206,148,148,148,148,148,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut03_1,10,10,10,0.1,4,2,2,235,205,205,194,194,194,0.053658537,0,0,1,44,48,4,0,0,0,0,0,0,0,0
NGCUT,ngcut03_2,10,10,10,0.17,7,2,3,235,205,205,185,185,185,0.097560976,0,0,1,45,52,9,0,0,0,0,0,0,0,0
NGCUT,ngcut03_3,10,10,10,0.25,11,0,0,235,183,183,183,183,183,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut04_1,15,10,5,0.1,1,0,0,207,193,193,193,193,193,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut04_2,15,10,5,0.17,1,0,0,207,173,173,173,173,173,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut04_3,15,10,5,0.25,2,0,0,207,146,146,146,146,146,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut05_1,15,10,7,0.1,2,0,0,262,227,227,227,227,227,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
