Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
CGCUT,cgcut1_1,15,10,7,0.1,2,0,0,163,139,139,139,139,139,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut1_2,15,10,7,0.17,3,0,0,163,137,137,137,137,137,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut1_3,15,10,7,0.25,5,0,0,163,109,109,109,109,109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut2_1,40,70,10,0.1,4,0,0,2303,1804,1804,1804,1804,1804,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut2_2,40,70,10,0.17,7,0,0,2303,1744,1744,1744,1744,1744,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut2_3,40,70,10,0.25,11,0,0,2303,1537,1537,1537,1537,1537,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CGCUT,cgcut3_1,40,70,20,0.1,19,0,0,1800,1640,1640,1500,1620,1620,0.085365854,0,0,1,13,13,0,0,0,0,0,0,0,0.005,0.005
CGCUT,cgcut3_2,40,70,20,0.17,32,0,0,1800,1680,1680,1500,1500,1500,0.107142857,0,0,1,85,85,0,0,0,0,0,0,0,0,0.016
CGCUT,cgcut3_3,40,70,20,0.25,47,0,0,1800,1520,1520,1400,1400,1400,0.078947368,0,0,1,0,0,0,0,0,0,0,0,0,0,0.018
GCUT,gcut1_1,250,250,10,0.1,4,0,3,55291,52792,52792,48368,48368,48368,0.083800576,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GCUT,gcut1_2,250,250,10,0.17,7,0,3,55291,50939,50939,48368,48368,48368,0.050472133,0,0,1,0,0,0,0,0,0,0,0,0,0.028,0.031
GCUT,gcut1_3,250,250,10,0.25,11,0,5,55291,48389,48389,46516,46516,46516,0.038707144,0,0,1,0,0,0,0,0,0,0,0,0,0.018,0.018
GCUT,gcut2_1,250,250,20,0.1,19,0,1,61589,61469,61469,57996,59563,59563,0.056500024,0,0,1,74,74,0,0,0,0,0,0,0,0.007,0.057
GCUT,gcut2_2,250,250,20,0.17,32,0,1,61589,61189,61189,56286,58540,58540,0.080128781,0,0,1,45,45,0,0,0,0,0,0,0,0.016,0.111
GCUT,gcut2_3,250,250,20,0.25,47,0,1,61589,60657,60657,57568,58705,58705,0.050925697,0,0,1,111,111,0,0,0,0,0,0,0,0,0.036
