Class,id,W,H,n,|E_d|,|E_s|,|SR|,|E_d|',|E_s|',|SR|',|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Violate-Dif,Violate-Same,Value-Error,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
Class01,23,10,10,60,0,0,0,0,0,0,0,0,1400000000000,0,1400000000000,1400000000000,1400000000000,1400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.003
Class01,24,10,10,60,0,0,0,0,0,0,0,0,1700000000000,1700000000000,1700000000000,1600000000000,1600000000000,1600000000000,0.058823529411764705,0.0,0,1,0,0,0,115,116,1,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,25,10,10,60,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1500000000000,1500000000000,0.0625,0.0,0,1,0,0,0,162,164,2,1,0.01,0.003,0.0,0.001,0.002,0.0,0.013
Class01,26,10,10,60,0,0,0,0,0,0,0,0,1400000000000,0,1400000000000,1400000000000,1400000000000,1400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,27,10,10,60,0,0,0,0,0,0,0,0,133333333332,122222222220,122222222220,100000000000,100000000000,100000000000,0.18181818180330578,0.0,0,1,0,0,0,21351,22474,1662,19,0.013,0.002,0.0,0.0,0.002,0.0,0.02
Class01,28,10,10,60,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,16,1,1,0.017,0.006,0.0,0.0,0.002,0.0,0.019
Class01,29,10,10,60,0,0,0,0,0,0,0,0,1400000000000,0,1400000000000,1400000000000,1400000000000,1400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.003
Class01,30,10,10,60,0,0,0,0,0,0,0,0,1100000000000,0,1100000000000,1100000000000,1100000000000,1100000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,31,10,10,80,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,18,2,2,0.138,0.022,0.0,0.001,0.008,0.0,0.147
Class01,32,10,10,80,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,16,1,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005
Class01,33,10,10,80,0,0,0,0,0,0,0,0,2100000000000,0,2100000000000,2100000000000,2100000000000,2100000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.004,0.0,0.004
Class01,34,10,10,80,0,0,0,0,0,0,0,0,1800000000000,0,1800000000000,1800000000000,1800000000000,1800000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.003
Class01,35,10,10,80,0,0,0,0,0,0,0,0,1700000000000,1700000000000,1700000000000,1600000000000,1700000000000,1700000000000,0.058823529411764705,0.0,0,1,0,0,0,0,17,1,0,0.0,0.0,0.0,0.001,0.004,0.0,0.005
Class01,36,10,10,80,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,16,1,0,0.0,0.0,0.0,0.001,0.003,0.0,0.004
Class01,37,10,10,80,0,0,0,0,0,0,0,0,1500000000000,0,1500000000000,1500000000000,1500000000000,1500000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.004,0.0,0.004
Class01,38,10,10,80,0,0,0,0,0,0,0,0,1700000000000,0,1700000000000,1700000000000,1700000000000,1700000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.004,0.0,0.005
Class01,39,10,10,80,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,16,1,1,0.015,0.003,0.0,0.0,0.003,0.0,0.018
Class01,40,10,10,80,0,0,0,0,0,0,0,0,1800000000000,0,1800000000000,1800000000000,1800000000000,1800000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.003
Class01,41,10,10,100,0,0,0,0,0,0,0,0,127265771071,127265771071,127265771071,121535303079,122184859972,122184859972,0.04502756667229119,0.0,0,1,0,0,0,52532,53147,795,145,0.234,0.032,0.0,0.001,0.021,0.0,0.263
Class01,42,10,10,100,0,0,0,0,0,0,0,0,1900000000000,0,1900000000000,1900000000000,1900000000000,1900000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.006,0.0,0.006
Class01,43,10,10,100,0,0,0,0,0,0,0,0,2200000000000,0,2200000000000,2200000000000,2200000000000,2200000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.007,0.0,0.008
Class01,44,10,10,100,0,0,0,0,0,0,0,0,1900000000000,1900000000000,1900000000000,1800000000000,1900000000000,1900000000000,0.05263157894736842,0.0,0,1,0,0,0,0,19,1,0,0.001,0.0,0.0,0.0,0.007,0.0,0.008
Class01,45,10,10,100,0,0,0,0,0,0,0,0,1700000000000,0,1700000000000,1700000000000,1700000000000,1700000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.006
Class01,46,10,10,100,0,0,0,0,0,0,0,0,1600000000000,0,1600000000000,1600000000000,1600000000000,1600000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.008,0.0,0.008
Class01,47,10,10,100,0,0,0,0,0,0,0,0,2300000000000,0,2300000000000,2300000000000,2300000000000,2300000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005
Class01,48,10,10,100,0,0,0,0,0,0,0,0,132826747719,131762917931,131762917931,124518743665,127710233027,127710233027,0.05497885429186944,0.0,0,1,0,0,0,1394,1421,32,1,0.001,0.0,0.0,0.0,0.008,0.0,0.01
Class01,49,10,10,100,0,0,0,0,0,0,0,0,122958751160,122958751160,122958751160,117733334583,118088399760,118088399760,0.04249731334860769,0.0,0,1,0,0,0,64296,65408,1387,140,0.138,0.011,0.0,0.001,0.032,0.0,0.181
Class01,50,10,10,100,0,0,0,0,0,0,0,0,1800000000000,1800000000000,1800000000000,1700000000000,1800000000000,1800000000000,0.05555555555555555,0.0,0,1,0,0,0,0,18,1,0,0.0,0.0,0.0,0.001,0.005,0.0,0.006
Class02,1,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.002,0.0,0.0,0.0,0.002
Class02,2,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class02,3,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class02,4,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class02,5,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class02,6,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class02,7,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class02,8,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class02,9,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class02,10,30,30,20,0,0,0,0,0,0,0,0,2000000000000,0,2000000000000,2000000000000,2000000000000,2000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class02,11,30,30,40,0,0,0,0,0,0,0,0,4000000000000,0,4000000000000,4000000000000,4000000000000,4000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.003
Class02,12,30,30,40,0,0,0,0,0,0,0,0,3700000000000,3700000000000,3700000000000,3600000000000,3700000000000,3700000000000,0.02702702702702703,0.0,0,1,0,0,0,0,37,1,0,0.0,0.0,0.001,0.001,0.003,0.0,0.005
Class02,13,30,30,40,0,0,0,0,0,0,0,0,3300000000000,0,3300000000000,3300000000000,3300000000000,3300000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.003
Class02,14,30,30,40,0,0,0,0,0,0,0,0,3600000000000,3600000000000,3600000000000,3500000000000,3600000000000,3600000000000,0.027777777777777776,0.0,0,1,0,0,0,0,36,1,0,0.011,0.0,0.001,0.0,0.002,0.0,0.014
Class02,15,30,30,40,0,0,0,0,0,0,0,0,3400000000000,3400000000000,3400000000000,3300000000000,3400000000000,3400000000000,0.029411764705882353,0.0,0,1,0,0,0,0,34,1,0,0.0,0.0,0.0,0.001,0.002,0.0,0.003
Class02,16,30,30,40,0,0,0,0,0,0,0,0,3800000000000,3800000000000,3800000000000,3700000000000,3800000000000,3800000000000,0.02631578947368421,0.0,0,1,0,0,0,0,38,1,0,0.001,0.0,0.001,0.001,0.002,0.0,0.005
Class02,17,30,30,40,0,0,0,0,0,0,0,0,3800000000000,3800000000000,3800000000000,3600000000000,3800000000000,3800000000000,0.05263157894736842,0.0,0,1,0,0,0,0,38,2,0,0.002,0.0,0.0,0.0,0.002,0.0,0.004
Class02,18,30,30,40,0,0,0,0,0,0,0,0,3200000000000,0,3200000000000,3200000000000,3200000000000,3200000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
