type,instance,W,H,m,n,exploredNodes,generatedNodes,liftCnt,addCutCnt,infeasibleSetSize,checkCnt,opt,feasible,time
MSB-450,OPP_2D_10_2s_3I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_3I_2W,100,100,10,10,0,0,0,0,0,0,1,0,0.016
MSB-450,OPP_2D_10_2s_3I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_3I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_3I_4W,100,100,10,10,0,0,0,0,0,0,1,0,0.019
MSB-450,OPP_2D_10_2s_3I_6W,100,100,10,10,0,0,0,0,0,0,1,0,0.013
MSB-450,OPP_2D_10_2s_3I_8W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_4I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.008
MSB-450,OPP_2D_10_2s_4I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_4I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_4I_2W,100,100,10,10,96,96,0,0,0,0,1,0,0.038
MSB-450,OPP_2D_10_2s_4I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_4I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_4I_4W,100,100,10,10,0,0,0,0,0,0,1,0,0.007
MSB-450,OPP_2D_10_2s_4I_6W,100,100,10,10,43,43,0,0,0,0,1,0,0.028
MSB-450,OPP_2D_10_2s_4I_8W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_5I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.007
MSB-450,OPP_2D_10_2s_5I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_5I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_5I_2W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_5I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_5I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_5I_4W,100,100,10,10,0,0,0,0,0,0,1,0,0.014
MSB-450,OPP_2D_10_2s_5I_6W,100,100,10,10,210,273,1,1,9,206,1,1,0.036
MSB-450,OPP_2D_10_2s_5I_8W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_6I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.001
MSB-450,OPP_2D_10_2s_6I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_6I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_6I_2W,100,100,10,10,3,3,0,0,0,0,1,0,0.012
MSB-450,OPP_2D_10_2s_6I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_6I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_6I_4W,100,100,10,10,186,186,0,0,0,0,1,0,0.044
MSB-450,OPP_2D_10_2s_6I_6W,100,100,10,10,673,673,3,3,21,552,1,0,0.105
MSB-450,OPP_2D_10_2s_6I_8W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_7I_0W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_7I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_7I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_7I_2W,100,100,10,10,4,4,0,0,0,0,1,0,0.019
MSB-450,OPP_2D_10_2s_7I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_7I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_7I_4W,100,100,10,10,268,268,0,0,0,0,1,0,0.048
MSB-450,OPP_2D_10_2s_7I_6W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_7I_8W,100,100,10,10,375,375,0,0,0,0,1,0,0.058
MSB-450,OPP_2D_10_2s_8I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_8I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_8I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_8I_2W,100,100,10,10,49,49,0,0,0,0,1,0,0.029
MSB-450,OPP_2D_10_2s_8I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_8I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_8I_4W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_8I_6W,100,100,10,10,26,26,0,0,0,0,1,0,0.028
MSB-450,OPP_2D_10_2s_8I_8W,100,100,10,10,64,64,0,0,0,0,1,0,0.02
MSB-450,OPP_2D_10_2s_9I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.007
MSB-450,OPP_2D_10_2s_9I_10W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_9I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_9I_2W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_9I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_9I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_9I_4W,100,100,10,10,120,120,0,0,0,0,1,0,0.044
MSB-450,OPP_2D_10_2s_9I_6W,100,100,10,10,987,987,0,0,0,0,1,0,0.132
MSB-450,OPP_2D_10_2s_9I_8W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_10I_0W,100,100,15,15,16430,16430,0,0,0,0,1,0,6.709
MSB-450,OPP_2D_15_2s_10I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.002
MSB-450,OPP_2D_15_2s_10I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_10I_2W,100,100,15,15,2650,3359,14,14,129,2994,1,1,1.019
MSB-450,OPP_2D_15_2s_10I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_10I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_10I_4W,100,100,15,15,671,937,0,0,0,0,1,1,0.297
MSB-450,OPP_2D_15_2s_10I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_10I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_0W,100,100,15,15,366,440,3,3,30,667,1,1,0.273
MSB-450,OPP_2D_15_2s_1I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_2W,100,100,15,15,121,154,0,0,0,0,1,1,0.083
MSB-450,OPP_2D_15_2s_1I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_1I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_1I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_0W,100,100,15,15,31100,31100,0,0,0,0,1,0,13.22
MSB-450,OPP_2D_15_2s_2I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.004
MSB-450,OPP_2D_15_2s_2I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_2I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.002
MSB-450,OPP_2D_15_2s_3I_0W,100,100,15,15,1113,1113,0,0,0,0,1,0,0.857
MSB-450,OPP_2D_15_2s_3I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.002
MSB-450,OPP_2D_15_2s_3I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_3I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_0W,100,100,15,15,3435,3435,0,0,0,0,1,0,2.931
MSB-450,OPP_2D_15_2s_4I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_4I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.003
